category,product_name,competitor_name,price,source
Minuman,Kopi Susu Aren,Toko Kompetitor 672,32216,synthetic
Minuman,Kopi Susu Aren,Toko Kompetitor 304,27124,synthetic
Minuman,Kopi Susu Aren,Toko Kompetitor 932,11171,synthetic
Minuman,Es Teh Kampul,Toko Kompetitor 100,16944,synthetic
Minuman,Es Teh Kampul,Toko Kompetitor 828,30770,synthetic
Minuman,Es Teh Kampul,Toko Kompetitor 610,32869,synthetic
Minuman,Es Teh Kampul,Toko Kompetitor 888,13767,synthetic
Minuman,Boba Brown Sugar,Toko Kompetitor 330,17081,synthetic
Minuman,Boba Brown Sugar,Toko Kompetitor 793,8929,synthetic
Minuman,Boba Brown Sugar,Toko Kompetitor 322,30914,synthetic
Minuman,Boba Brown Sugar,Toko Kompetitor 365,8086,synthetic
Minuman,Boba Brown Sugar,Toko Kompetitor 889,23384,synthetic
Minuman,Matcha Latte,Toko Kompetitor 574,21926,synthetic
Minuman,Matcha Latte,Toko Kompetitor 350,15383,synthetic
Minuman,Matcha Latte,Toko Kompetitor 165,28218,synthetic
Minuman,Wedang Jahe,Toko Kompetitor 898,12989,synthetic
Minuman,Wedang Jahe,Toko Kompetitor 222,14511,synthetic
Minuman,Wedang Jahe,Toko Kompetitor 774,20944,synthetic
Minuman,Wedang Jahe,Toko Kompetitor 839,31553,synthetic
Minuman,Wedang Jahe,Toko Kompetitor 574,28350,synthetic
Minuman,Jus Alpukat,Toko Kompetitor 340,23428,synthetic
Minuman,Jus Alpukat,Toko Kompetitor 736,20750,synthetic
Minuman,Jus Alpukat,Toko Kompetitor 646,16656,synthetic
Kecantikan,Serum Vitamin C,Toko Kompetitor 835,102269,synthetic
Kecantikan,Serum Vitamin C,Toko Kompetitor 129,92594,synthetic
Kecantikan,Serum Vitamin C,Toko Kompetitor 111,84329,synthetic
Kecantikan,Serum Vitamin C,Toko Kompetitor 174,212253,synthetic
Kecantikan,Lipstik Matte,Toko Kompetitor 782,136912,synthetic
Kecantikan,Lipstik Matte,Toko Kompetitor 869,116436,synthetic
Kecantikan,Lipstik Matte,Toko Kompetitor 610,209304,synthetic
Kecantikan,Lipstik Matte,Toko Kompetitor 868,234640,synthetic
Kecantikan,Lipstik Matte,Toko Kompetitor 956,230295,synthetic
Kecantikan,Bedak Tabur,Toko Kompetitor 339,179728,synthetic
Kecantikan,Bedak Tabur,Toko Kompetitor 932,193993,synthetic
Kecantikan,Bedak Tabur,Toko Kompetitor 526,86776,synthetic
Kecantikan,Bedak Tabur,Toko Kompetitor 742,195417,synthetic
Kecantikan,Parfum Eau de Toilette,Toko Kompetitor 307,186919,synthetic
Kecantikan,Parfum Eau de Toilette,Toko Kompetitor 382,146911,synthetic
Kecantikan,Parfum Eau de Toilette,Toko Kompetitor 617,183368,synthetic
Kecantikan,Sabun Wajah Tea Tree,Toko Kompetitor 525,210867,synthetic
Kecantikan,Sabun Wajah Tea Tree,Toko Kompetitor 866,157228,synthetic
Kecantikan,Sabun Wajah Tea Tree,Toko Kompetitor 928,228429,synthetic
Kecantikan,Sabun Wajah Tea Tree,Toko Kompetitor 793,193250,synthetic
Fashion,Kaos Oversize Polos,Toko Kompetitor 755,355991,synthetic
Fashion,Kaos Oversize Polos,Toko Kompetitor 107,205827,synthetic
Fashion,Kaos Oversize Polos,Toko Kompetitor 521,159054,synthetic
Fashion,Kaos Oversize Polos,Toko Kompetitor 698,161346,synthetic
Fashion,Kemeja Flanel,Toko Kompetitor 703,148287,synthetic
Fashion,Kemeja Flanel,Toko Kompetitor 833,212607,synthetic
Fashion,Kemeja Flanel,Toko Kompetitor 819,219730,synthetic
Fashion,Kemeja Flanel,Toko Kompetitor 781,153956,synthetic
Fashion,Hijab Voal Premium,Toko Kompetitor 801,352947,synthetic
Fashion,Hijab Voal Premium,Toko Kompetitor 722,283398,synthetic
Fashion,Hijab Voal Premium,Toko Kompetitor 800,247423,synthetic
Fashion,Sepatu Sneakers,Toko Kompetitor 679,201251,synthetic
Fashion,Sepatu Sneakers,Toko Kompetitor 240,192619,synthetic
Fashion,Sepatu Sneakers,Toko Kompetitor 609,229290,synthetic
Fashion,Sepatu Sneakers,Toko Kompetitor 808,325844,synthetic
Fashion,Tas Ransel,Toko Kompetitor 919,218296,synthetic
Fashion,Tas Ransel,Toko Kompetitor 761,113488,synthetic
Fashion,Tas Ransel,Toko Kompetitor 696,257442,synthetic
Fashion,Tas Ransel,Toko Kompetitor 414,150519,synthetic
Fashion,Tas Ransel,Toko Kompetitor 851,94993,synthetic
Fashion,Celana Cargo,Toko Kompetitor 443,102295,synthetic
Fashion,Celana Cargo,Toko Kompetitor 539,255917,synthetic
Fashion,Celana Cargo,Toko Kompetitor 431,85743,synthetic
Makanan Berat,Ayam Geprek,Toko Kompetitor 573,18910,synthetic
Makanan Berat,Ayam Geprek,Toko Kompetitor 101,26775,synthetic
