keyword,volume,source,date
minuman,24911,synthetic,2026-08-20
minuman,60131,synthetic,2026-08-20
minuman,51693,synthetic,2026-08-20
kopi,5267,synthetic,2026-08-20
kopi,15734,synthetic,2026-08-20
kopi,25558,synthetic,2026-08-20
teh,42077,synthetic,2026-08-20
teh,2363,synthetic,2026-08-20
teh,16871,synthetic,2026-08-20
teh,17766,synthetic,2026-08-20
teh,50879,synthetic,2026-08-20
jus,47345,synthetic,2026-08-20
jus,67091,synthetic,2026-08-20
susu,8279,synthetic,2026-08-20
susu,14590,synthetic,2026-08-20
susu,39296,synthetic,2026-08-20
susu,64960,synthetic,2026-08-20
susu,16340,synthetic,2026-08-20
makanan ringan,67883,synthetic,2026-08-20
makanan ringan,56916,synthetic,2026-08-20
makanan ringan,13225,synthetic,2026-08-20
cemilan,60824,synthetic,2026-08-20
cemilan,58146,synthetic,2026-08-20
snack,31827,synthetic,2026-08-20
snack,70916,synthetic,2026-08-20
jajanan,69789,synthetic,2026-08-20
jajanan,3434,synthetic,2026-08-20
jajanan,9564,synthetic,2026-08-20
camilan,15722,synthetic,2026-08-20
camilan,70078,synthetic,2026-08-20
camilan,68824,synthetic,2026-08-20
camilan,20992,synthetic,2026-08-20
makanan berat,22384,synthetic,2026-08-20
makanan berat,4314,synthetic,2026-08-20
makanan berat,59717,synthetic,2026-08-20
nasi,1038,synthetic,2026-08-20
nasi,51509,synthetic,2026-08-20
nasi,15397,synthetic,2026-08-20
nasi,17526,synthetic,2026-08-20
ayam,26977,synthetic,2026-08-20
ayam,32372,synthetic,2026-08-20
ayam,49808,synthetic,2026-08-20
ayam,26638,synthetic,2026-08-20
ayam,70368,synthetic,2026-08-20
mie,34031,synthetic,2026-08-20
mie,78654,synthetic,2026-08-20
mie,15415,synthetic,2026-08-20
mie,31806,synthetic,2026-08-20
mie,46781,synthetic,2026-08-20
geprek,69619,synthetic,2026-08-20
geprek,46005,synthetic,2026-08-20
geprek,3876,synthetic,2026-08-20
fashion,2365,synthetic,2026-08-20
fashion,20370,synthetic,2026-08-20
fashion,71802,synthetic,2026-08-20
fashion,32487,synthetic,2026-08-20
fashion,60988,synthetic,2026-08-20
pakaian,8591,synthetic,2026-08-20
pakaian,77131,synthetic,2026-08-20
pakaian,60591,synthetic,2026-08-20
pakaian,10409,synthetic,2026-08-20
outfit,55246,synthetic,2026-08-20
outfit,52561,synthetic,2026-08-20
style,43642,synthetic,2026-08-20
style,13368,synthetic,2026-08-20
style,50732,synthetic,2026-08-20
style,16407,synthetic,2026-08-20
mode,41367,synthetic,2026-08-20
mode,24506,synthetic,2026-08-20
aksesoris,61719,synthetic,2026-08-20
aksesoris,47457,synthetic,2026-08-20
aksesoris,60516,synthetic,2026-08-20
aksesoris,46150,synthetic,2026-08-20
tas,21379,synthetic,2026-08-20
tas,23083,synthetic,2026-08-20
tas,77071,synthetic,2026-08-20
tas,1112,synthetic,2026-08-20
jam tangan,11910,synthetic,2026-08-20
jam tangan,23058,synthetic,2026-08-20
jam tangan,63782,synthetic,2026-08-20
jam tangan,12051,synthetic,2026-08-20
perhiasan,27809,synthetic,2026-08-20
perhiasan,12014,synthetic,2026-08-20
perhiasan,27571,synthetic,2026-08-20
topi,57969,synthetic,2026-08-20
topi,55499,synthetic,2026-08-20
skincare,50584,synthetic,2026-08-20
skincare,56105,synthetic,2026-08-20
skincare,14788,synthetic,2026-08-20
skincare,76635,synthetic,2026-08-20
skincare,72911,synthetic,2026-08-20
makeup,20987,synthetic,2026-08-20
makeup,14196,synthetic,2026-08-20
makeup,79425,synthetic,2026-08-20
makeup,1258,synthetic,2026-08-20
kosmetik,74661,synthetic,2026-08-20
kosmetik,17758,synthetic,2026-08-20
kosmetik,9430,synthetic,2026-08-20
beauty,74715,synthetic,2026-08-20
beauty,28948,synthetic,2026-08-20
beauty,6140,synthetic,2026-08-20
beauty,24150,synthetic,2026-08-20
beauty,39995,synthetic,2026-08-20
serum,39631,synthetic,2026-08-20
serum,57677,synthetic,2026-08-20
